,date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD,USDAUD,USDBRL,USDCAD,USDHKD,USDINR,USDNOK,USDTRY,USDNZD,USDMXN,USDRUB,USDSEK,USDKRW,USDPNL,USDZAR,USDARS
0,29/04/2013 00:00,1.234,6.165,0.764,0.645,0.937,97.865,1466.5,0.967,2.006,1.012,7.761,54.185,5.812,1.795,1.169,12.2,30.941,6.537,1104.15,3.161,8.992,5.181
1,30/04/2013 00:00,1.232,6.165,0.759,0.644,0.929,97.375,1471.3,0.965,2.002,1.007,7.76,53.62,5.77,1.792,1.168,12.139,31.117,6.489,1100.65,3.162,8.976,5.189
2,01/05/2013 00:00,1.233,6.165,0.758,0.643,0.927,97.315,1446.2,0.973,2.002,1.008,7.76,53.695,5.771,1.793,1.176,12.202,31.341,6.47,1099.15,3.157,9.026,5.189
3,02/05/2013 00:00,1.235,6.156,0.766,0.644,0.935,97.905,1467.3,0.976,2.008,1.011,7.76,53.83,5.802,1.793,1.177,12.174,31.183,6.537,1101.15,3.165,8.953,5.189
4,03/05/2013 00:00,1.233,6.156,0.762,0.642,0.935,99.025,1465.0,0.969,2.009,1.008,7.759,53.78,5.802,1.795,1.172,12.074,31.055,6.481,1096.9,3.16,8.91,5.199
5,06/05/2013 00:00,1.231,6.167,0.765,0.643,0.938,99.315,1468.7,0.975,2.01,1.007,7.76,54.125,5.839,1.797,1.174,12.108,31.037,6.549,1095.25,3.174,8.994,5.206
6,07/05/2013 00:00,1.232,6.154,0.765,0.646,0.94,98.945,1451.0,0.982,2.006,1.004,7.761,54.05,5.845,1.797,1.184,12.024,31.073,6.528,1087.15,3.166,9.036,5.209
7,08/05/2013 00:00,1.228,6.141,0.76,0.644,0.935,98.925,1473.6,0.983,2.004,1.003,7.76,54.085,5.75,1.791,1.189,11.98,31.138,6.502,1083.4,3.14,9.008,5.214
8,09/05/2013 00:00,1.234,6.131,0.767,0.647,0.948,100.655,1468.6,0.991,2.014,1.007,7.76,54.64,5.781,1.798,1.191,11.99,31.206,6.551,1096.6,3.166,9.021,5.219
9,10/05/2013 00:00,1.24,6.142,0.77,0.651,0.958,101.635,1436.2,0.997,2.019,1.01,7.761,54.79,5.788,1.802,1.205,12.083,31.375,6.572,1110.4,3.189,9.123,5.229
10,13/05/2013 00:00,1.241,6.147,0.771,0.654,0.957,101.715,1435.2,1.004,2.009,1.011,7.762,54.79,5.799,1.811,1.212,12.163,31.345,6.605,1115.55,3.206,9.153,5.233
11,14/05/2013 00:00,1.243,6.143,0.773,0.657,0.966,102.295,1426.2,1.011,2.019,1.018,7.762,54.79,5.833,1.816,1.218,12.194,31.377,6.669,1113.9,3.221,9.242,5.236
12,15/05/2013 00:00,1.247,6.146,0.776,0.657,0.966,102.275,1395.7,1.012,2.023,1.017,7.762,54.79,5.849,1.823,1.216,12.215,31.467,6.673,1118.15,3.247,9.258,5.233
13,16/05/2013 00:00,1.251,6.149,0.776,0.655,0.964,102.215,1386.5,1.018,2.026,1.018,7.764,54.81,5.833,1.824,1.224,12.278,31.424,6.667,1115.15,3.246,9.325,5.231
14,17/05/2013 00:00,1.258,6.141,0.779,0.659,0.972,103.245,1361.1,1.028,2.035,1.028,7.763,55.16,5.853,1.839,1.24,12.346,31.407,6.687,1121.95,3.25,9.405,5.236
